Frame,Mean Displacement,Mean Velocity
1,4.953751796571122,4.953751796571122
2,5.406886525249029,5.406886525249029
3,3.9379028866941446,3.9379028866941446
4,9.318797929175865,9.318797929175865
5,5.27922435270226,5.27922435270226
6,3.982962299533212,3.982962299533212
7,5.606025077536697,5.606025077536697
8,4.564262972109585,4.564262972109585
9,5.221106555409262,5.221106555409262
10,4.219679258101445,4.219679258101445
11,5.558368260074584,5.558368260074584
12,6.214263160663004,6.214263160663004
13,5.133551165744447,5.133551165744447
14,5.526668163641633,5.526668163641633
15,6.930427474298834,6.930427474298834
16,6.178971161677215,6.178971161677215
17,5.670559390145172,5.670559390145172
18,5.69057719842958,5.69057719842958
19,4.479982582805971,4.479982582805971
20,6.358024489727767,6.358024489727767
21,5.406093807943583,5.406093807943583
22,6.240931469639105,6.240931469639105
23,5.909997843665264,5.909997843665264
24,5.643558102653659,5.643558102653659
25,5.543646489341154,5.543646489341154
26,3.9157835923482613,3.9157835923482613
27,4.601290300136885,4.601290300136885
28,4.840320783642144,4.840320783642144
29,4.920305519477287,4.920305519477287
30,5.416399234209945,5.416399234209945
31,5.755526681023293,5.755526681023293
32,6.266098793549373,6.266098793549373
33,4.820460256091853,4.820460256091853
